[2025-02-28 14:23:20] Portfolio carregado com 23 entradas.
[2025-02-28 14:23:20] BABA: Atualizado: 132.72 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:23:21] BABX: Atualizado: 36.872 (pre: None, pos: None, target: None)
[2025-02-28 14:23:21] BTCZ: Atualizado: 6.75 (pre: None, pos: None, target: None)
[2025-02-28 14:23:22] DOCN: Atualizado: 42.69 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:23:22] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:23:23] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:23:23] KOLD: Atualizado: 23.4 (pre: None, pos: None, target: None)
[2025-02-28 14:23:24] LABD: Atualizado: 7.6899 (pre: None, pos: None, target: None)
[2025-02-28 14:23:24] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:23:25] MU: Atualizado: 94.19 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:23:25] NTLA: Atualizado: 10.315 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:23:26] PRCH: Atualizado: 6.91 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:23:26] SBIT: Atualizado: 13.45 (pre: None, pos: None, target: None)
[2025-02-28 14:23:27] TSLQ: Atualizado: 45.11 (pre: None, pos: None, target: None)
[2025-02-28 14:23:28] TSLZ: Atualizado: 4.1295 (pre: None, pos: None, target: None)
[2025-02-28 14:23:28] XPEV: Atualizado: 21.22 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:23:44] Portfolio carregado com 23 entradas.
[2025-02-28 14:23:44] BABA: Atualizado: 132.505 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:23:45] BABX: Atualizado: 36.75 (pre: None, pos: None, target: None)
[2025-02-28 14:23:45] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:23:46] DOCN: Atualizado: 42.5 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:23:46] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:23:47] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:23:48] KOLD: Atualizado: 23.39 (pre: None, pos: None, target: None)
[2025-02-28 14:23:48] LABD: Atualizado: 7.7001 (pre: None, pos: None, target: None)
[2025-02-28 14:23:49] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:23:49] MU: Atualizado: 94.1 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:23:50] NTLA: Atualizado: 10.285 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:23:50] PRCH: Atualizado: 6.8938 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:23:51] SBIT: Atualizado: 13.4899 (pre: None, pos: None, target: None)
[2025-02-28 14:23:51] TSLQ: Atualizado: 45.0848 (pre: None, pos: None, target: None)
[2025-02-28 14:23:52] TSLZ: Atualizado: 4.145 (pre: None, pos: None, target: None)
[2025-02-28 14:23:52] XPEV: Atualizado: 21.195 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:24:08] Portfolio carregado com 23 entradas.
[2025-02-28 14:24:08] BABA: Atualizado: 132.4595 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:24:09] BABX: Atualizado: 36.75 (pre: None, pos: None, target: None)
[2025-02-28 14:24:09] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:24:10] DOCN: Atualizado: 42.42 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:24:10] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:24:11] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:24:12] KOLD: Atualizado: 23.4 (pre: None, pos: None, target: None)
[2025-02-28 14:24:12] LABD: Atualizado: 7.73 (pre: None, pos: None, target: None)
[2025-02-28 14:24:13] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:24:13] MU: Atualizado: 93.91 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:24:14] NTLA: Atualizado: 10.235 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:24:14] PRCH: Atualizado: 6.89 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:24:15] SBIT: Atualizado: 13.51 (pre: None, pos: None, target: None)
[2025-02-28 14:24:15] TSLQ: Atualizado: 45.29 (pre: None, pos: None, target: None)
[2025-02-28 14:24:16] TSLZ: Atualizado: 4.1731 (pre: None, pos: None, target: None)
[2025-02-28 14:24:16] XPEV: Atualizado: 21.18 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:24:31] Portfolio carregado com 23 entradas.
[2025-02-28 14:24:32] BABA: Atualizado: 132.58 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:24:32] BABX: Atualizado: 36.75 (pre: None, pos: None, target: None)
[2025-02-28 14:24:33] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:24:33] DOCN: Atualizado: 42.42 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:24:34] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:24:35] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:24:35] KOLD: Atualizado: 23.4198 (pre: None, pos: None, target: None)
[2025-02-28 14:24:36] LABD: Atualizado: 7.7151 (pre: None, pos: None, target: None)
[2025-02-28 14:24:36] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:24:37] MU: Atualizado: 93.97 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:24:37] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:24:38] PRCH: Atualizado: 6.92 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:24:39] SBIT: Atualizado: 13.5398 (pre: None, pos: None, target: None)
[2025-02-28 14:24:39] TSLQ: Atualizado: 45.17 (pre: None, pos: None, target: None)
[2025-02-28 14:24:40] TSLZ: Atualizado: 4.1599 (pre: None, pos: None, target: None)
[2025-02-28 14:24:40] XPEV: Atualizado: 21.185 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:24:54] Portfolio carregado com 23 entradas.
[2025-02-28 14:24:55] BABA: Atualizado: 132.58 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:24:55] BABX: Atualizado: 36.75 (pre: None, pos: None, target: None)
[2025-02-28 14:24:56] BTCZ: Atualizado: 6.8064 (pre: None, pos: None, target: None)
